user,song,title,play_count,release,artist_name,year,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
a4f803a42f03018ccfa4c8a27e330df40be8b9b9,SOPSOHT12A67AE0235,Almaz,1,Every Kind Of Mood,Randy Crawford,1986,"disco, smooth jazz",0.694,0.637,2.0,-7.555,0.0,0.0321,0.636,0.00413,0.129,0.397,136.007,2fbTbfyhKAb3sKySsTeOy9
0878045f0dc2968f0403a26e6fd8bda99d19d0db,SOXIGHW12A6D4F7245,Weak In The Knees,2,If Your Memory Serves You Well,Serena Ryder,2006,"canadian indie, canadian pop, canadian singer-songwriter, ontario indie, pop quebecois",0.613,0.71,5.0,-4.689,1.0,0.0304,0.295,5.2e-06,0.12,0.401,141.987,1xebBdGOBa4vg3a4PvPiar
2bd8c53931b30461ecf79469c12099a5e25f6618,SOAZTAD12A8C14494A,Until We're Dead,1,Until We're Dead,Star Fucking Hipsters,2008,"crack rock steady, folk punk, ska, ska punk",0.251,0.933,1.0,-6.382,1.0,0.116,2.6e-05,0.22,0.0849,0.14,114.711,4lfZ5fgY8XALDoKBwErce0
1adcd0137fabfe2c9b2828caf5b1c95bf7994337,SODTEIO12A8AE46F47,Gas Can Row,1,Head Home,O'Death,2007,,,,,,,,,,,,,
e8a55ac62f27b90294c126358ef5409b6a341fcd,SOWSEEJ12AB01893F4,Everything Looks Beautiful On Video,5,Stop The Future,The Epoxies,2005,"portland punk, power-pop punk",0.444,0.894,7.0,-3.569,1.0,0.0406,0.00221,0.00185,0.405,0.637,175.938,5oMMBaq00zNkDXV3zuTO6G
474104a92735681e39473ea3578d03d671be7351,SOWDQJL12A8C14530B,Hot Mess (Album Version),3,Guilty Pleasure,Ashley Tisdale,2009,,,,,,,,,,,,,
f6262aa71a3cd3bae08a870a0589f25d80e1c8ac,SOJTSOG12A8C13D673,Wandering Eye,1,Based on a True Story,Fat Freddy's Drop,2005,"funk rock, nz reggae",0.878,0.326,11.0,-13.302,0.0,0.128,0.0137,0.152,0.0993,0.176,119.618,6vliUZ5YKQtvecjXYJehiF
37fd385c30775a1a575f12c94154dadf367e39c5,SOFLDEW12AB018407E,Never Content,1,No Way Down,Air France,2006,"balearic, gothenburg indie",0.523,0.844,3.0,-8.765,1.0,0.0409,0.18,0.269,0.344,0.55,120.006,33NFdE7JUjkpJy5dzEHBhU
db481d6784e899da104cd05e992c4f89d3c8a3ca,SOLTIBL12AB0182E88,Hosea's Wife,2,Albertine,Brooke Fraser,2006,,,,,,,,,,,,,
4263c0810869a378925d0aa1a54c9d97835e9c71,SOUEAAS12A8C133106,Let It Fall,1,Youth Novels,Lykke Li,2008,"electropop, indietronica, neo-synthpop, swedish electropop, swedish indie pop, swedish pop",0.952,0.445,9.0,-8.085,0.0,0.0444,0.161,0.0014,0.0584,0.775,106.004,7jxNl5VKoUeN3CG9vtKcFw
6dc872c56837b90550e15d5d4f91f1a0ceccced3,SOXFPND12AB017C9D1,I Gotta Feeling,2,Todo Éxitos 2009,Black Eyed Peas,2009,"dance pop, pop, pop rap",0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,2H1047e0oMSj10dgp7p2VG
74b30522f2cb817b3fdaaa6aacd2a0f8771cef22,SOWYFFH12AAF3B4C65,Breathe,1,Fearless,Taylor Swift / Colbie Caillat,2008,pop,0.506,0.626,1.0,-6.066,1.0,0.0287,0.156,0.0,0.228,0.321,148.035,7HC7R2D8WjXVcUHJyEGjRs
1561d2d4301ad24842ae834c3cdf77d82a9f35fe,SOMGGOB12A67ADCE5F,Te Decourage Pas,1,Ricothentik,Rico Pupa,0,,,,,,,,,,,,,
dbe25935909b7521ec9c40e3c47deff064a8b96d,SOBIMTY12A6D4F931F,The Ballad of Michael Valentine,1,Sawdust,The Killers,2004,"alternative rock, dance rock, modern rock, permanent wave, rock",0.476,0.868,0.0,-4.34,1.0,0.033,0.00139,0.0,0.329,0.451,99.039,3jmqb9d6QW8hQHxAgI5u2X
ef0b7a70e800854ea69a269165f25ec828273353,SOSFQDP12A81C237EE,Des Blutes Stimme,3,Des Blutes Stimme,Riger,2002,german pagan metal,0.213,0.861,0.0,-6.076,1.0,0.0592,0.000126,0.556,0.347,0.243,97.344,3E0JuHLyfwTdF8TsCNPUcp
cd41ce889ab2972d91832846f404b0fd9e789651,SOCULSW12A6D4FAF72,Days That Are Over,2,Two Way Monologue,Sondre Lerche,2004,"bergen indie, norske viser",0.651,0.581,0.0,-7.356,1.0,0.0297,0.516,0.00101,0.106,0.406,118.464,41aA5zvZAu0ilv7cFv6WmL
06b3875df691732d8c93bebfd5f9652bd09fd686,SOTEGWG12AB01897AC,Forever,1,Relapse: Refill,Drake / Kanye West / Lil Wayne / Eminem,0,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.457,0.906,5.0,-2.278,0.0,0.342,0.249,0.0,0.182,0.54,104.02,5UsLjwBaTHBX4ektWIr4XX
ee78d818604f2a85a72cbc3c2ddac394da21ffa6,SOQARFV12A8C131531,Love Struck Baby,2,In The Beginning,Stevie Ray Vaughan And Double Trouble,1985,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues",0.548,0.874,8.0,-10.147,1.0,0.0463,0.279,0.0463,0.173,0.966,172.129,5MVMARaMoclifNmBtPu0dD
