user,song,title,play_count,release,artist_name,year,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
51fa13351c35226a0d26e7d44d687963b3cb789a,SOZIOCH12AC3DF8500,He Took Her To A Movie (Live In Sofia),5,604,Ladytron,2004,,,,,,,,,,,,,,,,,,,
7994dd027794a5f16f61a7b3aa964a4f3738cef7,SOUUIRO12A6D4FB4CB,The Kids,1,The Marshall Mathers LP,Eminem,2000,"detroit hip hop, hip hop, rap",0.755,0.746,10.0,-4.87,1.0,0.34,0.234,0.0,0.102,0.375,91.244,audio_features,3gZb1zFYYM2MORBQujzi10,spotify:track:3gZb1zFYYM2MORBQujzi10,https://api.spotify.com/v1/tracks/3gZb1zFYYM2MORBQujzi10,https://api.spotify.com/v1/audio-analysis/3gZb1zFYYM2MORBQujzi10,303187.0,4.0
168bc2d04178ce7e30119e96d9f8ee2778f64855,SOIZPLP12A8AE49604,Picture Perfect,2,Exclusive,Chris Brown featuring will.i.am,0,,,,,,,,,,,,,,,,,,,
168bc2d04178ce7e30119e96d9f8ee2778f64855,SOIZPLP12A8AE49604,Picture Perfect,2,Exclusive,Chris Brown featuring will.i.am,0,,,,,,,,,,,,,,,,,,,
52c5420699b20927cfc6ca482237dfaa1336611e,SOROYQF12AF729CE88,Barael's Blade,1,Age Of Winters,The Sword,2004,,,,,,,,,,,,,,,,,,,
eb57c9ba08b6b115df20832e670012d2071d305b,SOMAKIT12A58A7E292,Bodies,4,Sinner,Drowning Pool,2001,"alternative metal, nu metal, post-grunge, rap metal",0.656,0.932,4.0,-3.405,0.0,0.0708,0.00347,0.00147,0.144,0.544,130.936,audio_features,7CpbhqKUedOIrcvc94p60Y,spotify:track:7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/tracks/7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/audio-analysis/7CpbhqKUedOIrcvc94p60Y,201960.0,4.0
4949a209c96784611c08a51ae265c21a1874c448,SOIBSWV12A6D4F6AB3,Through The Wire,1,Through The Wire,Kanye West,2003,"chicago rap, hip hop, rap",0.571,0.739,7.0,-6.11,1.0,0.247,0.00865,5.21e-06,0.158,0.66,83.089,audio_features,4mmkhcEm1Ljy1U9nwtsxUo,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/audio-analysis/4mmkhcEm1Ljy1U9nwtsxUo,221227.0,4.0
4949a209c96784611c08a51ae265c21a1874c448,SOIBSWV12A6D4F6AB3,Through The Wire,1,Through The Wire,Kanye West,2003,"chicago rap, hip hop, rap",0.571,0.739,7.0,-6.11,1.0,0.247,0.00865,5.21e-06,0.158,0.66,83.089,audio_features,4mmkhcEm1Ljy1U9nwtsxUo,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/audio-analysis/4mmkhcEm1Ljy1U9nwtsxUo,221227.0,4.0
554842a44ba3ea68d7613748bc7ba8c30225d163,SOOESXN12A670217EA,All I Want,10,Best Of,Mis-Teeq,2001,"girl group, uk garage",0.795,0.919,9.0,-3.07,0.0,0.0835,0.37,0.00863,0.189,0.96,134.079,audio_features,0tWdRXWDUd1gWLthXgk6Dp,spotify:track:0tWdRXWDUd1gWLthXgk6Dp,https://api.spotify.com/v1/tracks/0tWdRXWDUd1gWLthXgk6Dp,https://api.spotify.com/v1/audio-analysis/0tWdRXWDUd1gWLthXgk6Dp,207400.0,4.0
d0d5f63723a6cffe9ad569de509fa531bd287bb2,SOJNNUA12A8AE48C7A,Love Shack,1,Original Hits - Rock,The B-52's,1989,"album rock, classic rock, dance rock, new romantic, new wave, new wave pop, permanent wave, post-punk, rock, zolo",0.701,0.803,5.0,-6.786,0.0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,audio_features,4W4wYHtsrgDiivRASVOINL,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,320680.0,4.0
6214997d2a1e26c21aac478737f59d9f6b76049f,SOKHYIN12A8C13E5FC,Scratch Bass,1,What Sound,Lamb,0,"electronica, trip hop",0.732,0.774,10.0,-7.837,0.0,0.0476,0.00534,0.844,0.11,0.278,119.979,audio_features,735yhbG1SQ82wH0a8u6VKU,spotify:track:735yhbG1SQ82wH0a8u6VKU,https://api.spotify.com/v1/tracks/735yhbG1SQ82wH0a8u6VKU,https://api.spotify.com/v1/audio-analysis/735yhbG1SQ82wH0a8u6VKU,287867.0,4.0
353e5ee6ba14abbda8f15b2ba7ad64931f150c4b,SOBEOYA12AB0186F10,I.nner Indulgence,7,D.e.v.o.l.u.t.i.o.n.,DESTRUCTION,2008,,,,,,,,,,,,,,,,,,,
65d8a999651a796f7729ab9f212a4e4f52a477ad,SOBMWUE12AB0181CB1,La Ñapi De Mamá,1,Vinyl Replica:  Narigón Del Siglo_ Yo Te Dejo Perfumado En La Esquina Para Siempre,Divididos,0,"argentine rock, rock en espanol, ska argentino",0.335,0.901,11.0,-8.783,0.0,0.0452,0.000328,0.00429,0.648,0.385,147.129,audio_features,67LIhzc6LQaFz2HAAWFVFS,spotify:track:67LIhzc6LQaFz2HAAWFVFS,https://api.spotify.com/v1/tracks/67LIhzc6LQaFz2HAAWFVFS,https://api.spotify.com/v1/audio-analysis/67LIhzc6LQaFz2HAAWFVFS,305744.0,4.0
dee7389c05f8fe623a28fcec8fb66b490119c16f,SOPDGAK12A6D4F95B7,I Can't Wait,3,Mr. Brown,Sleepy Brown featuring Outkast,2006,atl hip hop,0.855,0.63,10.0,-7.569,0.0,0.27,0.255,0.0,0.331,0.578,102.922,audio_features,23XFjkEHUpVh3fmcNJFkaR,spotify:track:23XFjkEHUpVh3fmcNJFkaR,https://api.spotify.com/v1/tracks/23XFjkEHUpVh3fmcNJFkaR,https://api.spotify.com/v1/audio-analysis/23XFjkEHUpVh3fmcNJFkaR,272547.0,4.0
bdee0ec59c145b3f5c31ace03c5d602bbbb41040,SOHHFOO12A8C134EC4,Strange Feelin',1,Live At the Troubadour,Tim Buckley,1969,"cosmic american, folk, folk rock, psychedelic folk, singer-songwriter",0.417,0.22,7.0,-17.53,1.0,0.0334,0.724,0.0459,0.089,0.374,121.697,audio_features,6X53ZMjsdLZ7B04WB6xqwt,spotify:track:6X53ZMjsdLZ7B04WB6xqwt,https://api.spotify.com/v1/tracks/6X53ZMjsdLZ7B04WB6xqwt,https://api.spotify.com/v1/audio-analysis/6X53ZMjsdLZ7B04WB6xqwt,460373.0,3.0
79f721c9ec18054084a02e1d1cb4b5305ad8a0b0,SOCFBYP12A6D4F98DD,Bop To The Top,1,High School Musical - The Collection,The Cast Of 'High School Musical',0,,,,,,,,,,,,,,,,,,,
f3fdbe171a2dfd18a2f6585e764e31d21cdc7dbe,SOGYMWR12B34F1EAE9,What's Not To Like,1,Hannah Montana The Movie,Hannah Montana,2009,,,,,,,,,,,,,,,,,,,
3b497f54346aa11966e7e0d50899ed36e2cb5a60,SOICCGJ12A8C1411CB,Who Do You Think You Are?,1,Hope For The Hopeless,Brett Dennen,2008,"acoustic pop, neo mellow",0.859,0.626,0.0,-4.642,1.0,0.0284,0.104,0.0,0.107,0.903,99.971,audio_features,6AqbbytclwaBhnqq1JVO3B,spotify:track:6AqbbytclwaBhnqq1JVO3B,https://api.spotify.com/v1/tracks/6AqbbytclwaBhnqq1JVO3B,https://api.spotify.com/v1/audio-analysis/6AqbbytclwaBhnqq1JVO3B,245680.0,4.0
99e05b049ec19d1c1095b766cfe7e74853af8dba,SOVAKWK12A67020865,Can't Take It,2,Move Along,The All-American Rejects,2005,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",0.57,0.41,4.0,-6.332,0.0,0.0292,0.675,0.0,0.184,0.343,115.993,audio_features,0r4LBlrLJpv4jz4Q0FxmAT,spotify:track:0r4LBlrLJpv4jz4Q0FxmAT,https://api.spotify.com/v1/tracks/0r4LBlrLJpv4jz4Q0FxmAT,https://api.spotify.com/v1/audio-analysis/0r4LBlrLJpv4jz4Q0FxmAT,172587.0,4.0
67950d15d2c70d2ac8f6a4098537c48327cc4214,SOBXSCM12A6310DF4F,Monosylabik Parts 1 & 2,1,The Private Press,DJ Shadow,2002,,,,,,,,,,,,,,,,,,,
3d817f2340c445c3915a783fa02efcf8c70acd5e,SORDTAE12A58A7BFAB,Got Your Money (Ol' Dirty Bastard cover) (Album),1,Punk Goes Crunk,Say Anything,0,,,,,,,,,,,,,,,,,,,
2210607ff7a8a5e50b6af285d25a3a33a6fd454c,SOXQYSC12A6310E908,Bitter Sweet Symphony,1,Bitter Sweet Symphony,The Verve,1997,"britpop, permanent wave, rock, shoegaze",0.356,0.917,9.0,-6.006,1.0,0.0479,0.0335,0.0,0.406,0.518,171.176,audio_features,57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw,357267.0,4.0
49c4da31f1174b2b6d0aff029cf634459b693562,SOMMIXC12A6D4F9EF0,Collecting Skylines,8,This Flag Signals Goodbye,Swearing At Motorists,0,"gbvfi, lo-fi indie",0.286,0.36,10.0,-14.085,1.0,0.053,0.635,0.793,0.133,0.663,158.807,audio_features,4gVKfvbMi9XkRGFx2RAXzN,spotify:track:4gVKfvbMi9XkRGFx2RAXzN,https://api.spotify.com/v1/tracks/4gVKfvbMi9XkRGFx2RAXzN,https://api.spotify.com/v1/audio-analysis/4gVKfvbMi9XkRGFx2RAXzN,33453.0,3.0
7dd568f04032cb4d45b5ccff1dfb633624d78c9c,SOIWBJU12A6701CBE7,Daft Punk Is Playing At My House,1,Daft Punk Is Playing At My House,LCD Soundsystem,2005,"alternative dance, alternative rock, art pop, dance rock, dance-punk, electronic rock, electronica, indie rock, indietronica, neo-synthpop, new rave",0.92,0.914,7.0,-4.555,1.0,0.0444,0.0222,7.62e-05,0.114,0.974,135.923,audio_features,73mlvsfJM2qwlDUJxeaatI,spotify:track:73mlvsfJM2qwlDUJxeaatI,https://api.spotify.com/v1/tracks/73mlvsfJM2qwlDUJxeaatI,https://api.spotify.com/v1/audio-analysis/73mlvsfJM2qwlDUJxeaatI,314557.0,4.0
b1e7074c96dcb199962e8e9a1143d6b9246b9712,SOJBLQA12AC468875C,...And The World Laughs With You ft. Thom Yorke,1,Cosmogramma,Flying Lotus,2010,,,,,,,,,,,,,,,,,,,
6a553c9cf24f0e28869c4e01cc185c3e770b735c,SOXEDZH12A8C137D06,Golden Cage,4,Dreams,The Whitest Boy Alive,2006,"alternative dance, indietronica, new rave",0.835,0.693,4.0,-6.521,0.0,0.0374,0.137,0.507,0.136,0.928,119.699,audio_features,4Pz7iN649aBn2TwcxBRF8Z,spotify:track:4Pz7iN649aBn2TwcxBRF8Z,https://api.spotify.com/v1/tracks/4Pz7iN649aBn2TwcxBRF8Z,https://api.spotify.com/v1/audio-analysis/4Pz7iN649aBn2TwcxBRF8Z,242440.0,4.0
fe5b43b84a79f258adda6182b79ac2bc52335dff,SOKTUWN12AB01811BA,She's a Drone,1,Negative Capability...Check it Out!,Urinals,1982,early us punk,0.279,0.96,9.0,-8.553,1.0,0.038,0.107,0.0415,0.397,0.615,168.287,audio_features,1SuY6yc8L94qmhpJsL89O2,spotify:track:1SuY6yc8L94qmhpJsL89O2,https://api.spotify.com/v1/tracks/1SuY6yc8L94qmhpJsL89O2,https://api.spotify.com/v1/audio-analysis/1SuY6yc8L94qmhpJsL89O2,39400.0,4.0
de1d6834efad6c1847aba6a94616e3e4dc63f800,SOFXVVE12A8C14249C,Jesus Just Left Chicago,1,LIVE FROM TEXAS,ZZ Top,1973,"album rock, blues rock, classic rock, hard rock, rock",0.34,0.598,0.0,-9.668,1.0,0.0742,0.0853,0.118,0.0969,0.698,215.923,audio_features,6SIm1p6alvQsWcDv1M2b72,spotify:track:6SIm1p6alvQsWcDv1M2b72,https://api.spotify.com/v1/tracks/6SIm1p6alvQsWcDv1M2b72,https://api.spotify.com/v1/audio-analysis/6SIm1p6alvQsWcDv1M2b72,210253.0,3.0
