track_id_encoded,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_minutes,track_name_preprocessed,playlist_name_sentiment,track_name_sentiment,intensity_zone,intensity_zone_encoded,cluster,avg_bpm,age,avg_cadence,avg_pace,y_pred
2207.0,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",79.0,2nkto6YNI4rUYTLqEwWJ3o,5800.0,2017-07-21,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,2.0,10.0,0.558,0.559,6.0,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558,3.01,see feat kali uchis,0.0,0.0,Zone 1 (Very Light),0.0,1.0,127.0,20.0,9.0,6.71,1.0
91.0,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,OutKast,77.0,2tm3Ht61kqqRZtIYsBjxEj,15108.0,2000-10-31,saxophone hip hop r b lounge jazz rap,2ujrP2rPxu8ao7wNeG1ZOY,3.0,13.0,0.843,0.805,4.0,-5.946,0.269,0.142,0.0,0.0771,0.615,94.946,4.51,jackson,0.0,0.0,Zone 1 (Very Light),0.0,9.0,181.0,19.0,111.0,5.71,1.0
1444.0,4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,Childish Gambino,70.0,15k99o4mZJ9mfpQGIOrZ45,15411.0,2018-07-11,project contemporary,6HaCi9bqaiuSZEDfCEmwyo,3.0,23.0,0.76,0.579,0.0,-7.374,0.0569,0.0129,0.00351,0.106,0.125,100.01,3.56,summertime magic,0.1666666666666666,0.5,Zone 2 (Light),1.0,2.0,239.0,27.0,66.0,5.29,1.0
759.0,2TrzgfBaSP387EEFDgG4FW,Verano Azul,Juan Magán,1.0,6GxHVUwxvviiCffH7coRPC,18029.0,2009-01-01,mix latin,6IS6XTdbS9qJZgfjNKgpB8,1.0,12.0,0.887,0.87,2.0,-5.267,0.119,0.0145,0.0,0.015,0.838,126.047,3.18,verano azul,0.0,0.0,Zone 3 (Moderate),2.0,15.0,242.0,58.0,84.0,7.85,1.0
2037.0,6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,92.0,1Flcx9eDuv7pTGM9nJBmGL,5483.0,2019-08-29,latin pop pop latino actual,2kKzN3kRYDzBctlaWs7CP2,1.0,12.0,0.879,0.703,1.0,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,3.33,fantasias,0.0,0.0,Zone 1 (Very Light),0.0,12.0,236.0,33.0,116.0,6.35,1.0
817.0,2eU63GLRBeMOszGRTCEE9E,California Love - Original Version,2Pac,2.0,6KwC7GaK6R7Uphby8bnmqk,242.0,1998-01-01,oldschool gangsta rap,0t9TeyXE2mWe70JT3YwSoH,4.0,6.0,0.761,0.835,7.0,-3.076,0.0425,0.031,1.44e-06,0.387,0.766,91.524,4.75,california love original version,0.0,0.4375,Zone 1 (Very Light),0.0,15.0,202.0,29.0,97.0,5.44,1.0
1113.0,3bcYb4HwWlytUFLny0e0Q1,With Or Without You,U2,2.0,586ZRfgsIckfcKvHVcGM4V,16494.0,1987-03-10,pop rock hits album tracks,0XOIK4m26aeYSD61E5nSVW,5.0,0.0,0.532,0.353,2.0,-14.672,0.0309,0.000226,0.198,0.123,0.111,109.888,4.94,without,0.0,0.0,Zone 2 (Light),1.0,4.0,192.0,19.0,68.0,5.86,1.0
73.0,0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,78.0,2G4AUqfwxcV1UdQjm2ouYr,6315.0,2014-05-19,,44p8nNLe4fGfUeArS3MaIX,2.0,5.0,0.551,0.636,6.0,-7.125,0.0281,0.00713,0.00203,0.217,0.153,124.996,4.47,sky full stars,0.0,0.35,Zone 3 (Moderate),2.0,2.0,91.0,24.0,101.0,7.67,1.0
1867.0,6BnONjR7itGMEqwxKTIlRM,Safe And Sound,Capital Cities,13.0,5ps3FwS0qGdRCvXop8q9vn,8004.0,2013-01-01,electropop,0cuHKz65ZPqBX1brG8djlg,2.0,5.0,0.653,0.822,0.0,-4.857,0.033,0.00021,0.0047,0.0838,0.762,117.949,3.21,safe sound,0.0,0.45,Zone 3 (Moderate),2.0,2.0,230.0,54.0,100.0,5.74,1.0
249.0,0oWHLtxWeMJhmwxtrxhNK0,Welcome To The Jungle,Guns N' Roses,1.0,1oR3KrPIp4CbagPa3PhtPp,1231.0,1987-01-01,classic rock rock classics rock rock rock rock classicos,3Ho3iO0iJykgEQNbjB2sic,5.0,2.0,0.443,0.955,8.0,-8.066,0.0741,0.0222,0.361,0.297,0.333,123.423,4.56,welcome jungle,0.1666666666666666,0.8,Zone 3 (Moderate),2.0,2.0,81.0,57.0,95.0,7.08,1.0
