user,song,title,play_count,release,artist_name,year
a4f803a42f03018ccfa4c8a27e330df40be8b9b9,SOPSOHT12A67AE0235,Almaz,1,Every Kind Of Mood,Randy Crawford,1986
0878045f0dc2968f0403a26e6fd8bda99d19d0db,SOXIGHW12A6D4F7245,Weak In The Knees,2,If Your Memory Serves You Well,Serena Ryder,2006
2bd8c53931b30461ecf79469c12099a5e25f6618,SOAZTAD12A8C14494A,Until We're Dead,1,Until We're Dead,Star Fucking Hipsters,2008
1adcd0137fabfe2c9b2828caf5b1c95bf7994337,SODTEIO12A8AE46F47,Gas Can Row,1,Head Home,O'Death,2007
e8a55ac62f27b90294c126358ef5409b6a341fcd,SOWSEEJ12AB01893F4,Everything Looks Beautiful On Video,5,Stop The Future,The Epoxies,2005
474104a92735681e39473ea3578d03d671be7351,SOWDQJL12A8C14530B,Hot Mess (Album Version),3,Guilty Pleasure,Ashley Tisdale,2009
f6262aa71a3cd3bae08a870a0589f25d80e1c8ac,SOJTSOG12A8C13D673,Wandering Eye,1,Based on a True Story,Fat Freddy's Drop,2005
37fd385c30775a1a575f12c94154dadf367e39c5,SOFLDEW12AB018407E,Never Content,1,No Way Down,Air France,2006
db481d6784e899da104cd05e992c4f89d3c8a3ca,SOLTIBL12AB0182E88,Hosea's Wife,2,Albertine,Brooke Fraser,2006
4263c0810869a378925d0aa1a54c9d97835e9c71,SOUEAAS12A8C133106,Let It Fall,1,Youth Novels,Lykke Li,2008
6dc872c56837b90550e15d5d4f91f1a0ceccced3,SOXFPND12AB017C9D1,I Gotta Feeling,2,Todo Éxitos 2009,Black Eyed Peas,2009
74b30522f2cb817b3fdaaa6aacd2a0f8771cef22,SOWYFFH12AAF3B4C65,Breathe,1,Fearless,Taylor Swift / Colbie Caillat,2008
1561d2d4301ad24842ae834c3cdf77d82a9f35fe,SOMGGOB12A67ADCE5F,Te Decourage Pas,1,Ricothentik,Rico Pupa,0
