user,song,title,play_count,release,artist_name,year,genres,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
b493eda768d25cfb48dec2567b0826cdb9f6eef4,SOCBSZW12AB01891C1,XRDS,256,Ritual Noise,Covenant,0,"aggrotech, cyberpunk, dark wave, ebm, electro-industrial, futurepop, industrial metal, swedish synth",5.0,-11.129,0.0,0.0448,0.044,0.443,0.239,0.497,128.017
d50046ceb4db11dc162649a0da27733ff5194b47,SOAAAGQ12A8C1420C8,Orgelblut,1,Dolores,Bohren & Der Club Of Gore,2008,"dark jazz, drone",9.0,-21.904,0.0,0.0446,0.819,0.89,0.117,0.0659,129.709
1e93ab57208a575ad87872ff3a25c1743632d0a1,SOAAAGQ12A8C1420C8,Orgelblut,1,Dolores,Bohren & Der Club Of Gore,2008,"dark jazz, drone",9.0,-21.904,0.0,0.0446,0.819,0.89,0.117,0.0659,129.709
a0846981ab7c3d06cf1d966e7109774e306eb61a,SOAAAGQ12A8C1420C8,Orgelblut,1,Dolores,Bohren & Der Club Of Gore,2008,"dark jazz, drone",9.0,-21.904,0.0,0.0446,0.819,0.89,0.117,0.0659,129.709
6e8d4e7d986e077d334da41638e63b9030710141,SOAAAGQ12A8C1420C8,Orgelblut,1,Dolores,Bohren & Der Club Of Gore,2008,"dark jazz, drone",9.0,-21.904,0.0,0.0446,0.819,0.89,0.117,0.0659,129.709
0e2f6624a9205bbfec266299bdfcf01c1fbef6d9,SOAAAGQ12A8C1420C8,Orgelblut,1,Dolores,Bohren & Der Club Of Gore,2008,"dark jazz, drone",9.0,-21.904,0.0,0.0446,0.819,0.89,0.117,0.0659,129.709
ef90a7973482e7d656664ad918e3d52a19f08334,SOAAAGQ12A8C1420C8,Orgelblut,1,Dolores,Bohren & Der Club Of Gore,2008,"dark jazz, drone",9.0,-21.904,0.0,0.0446,0.819,0.89,0.117,0.0659,129.709
72feee7de3d0748a307e6fd684e0e8c2ef31f0c4,SOAAAGQ12A8C1420C8,Orgelblut,1,Dolores,Bohren & Der Club Of Gore,2008,"dark jazz, drone",9.0,-21.904,0.0,0.0446,0.819,0.89,0.117,0.0659,129.709
a84204ad4906fb743c2f9e0da81ddbd1833ad1c5,SOAAAQN12AB01856D3,Campeones De La Vida,1,20 Años,Alejandro Lerner,0,,0.0,-10.475,1.0,0.032,0.307,0.0,0.31,0.398,119.911
bbd6ad3fbb0132970f158a3b2b7c7c170855bf89,SOAAAQN12AB01856D3,Campeones De La Vida,1,20 Años,Alejandro Lerner,0,,0.0,-10.475,1.0,0.032,0.307,0.0,0.31,0.398,119.911
