song_encoded,energy,tempo,danceability_diff,energy_diff,valence_diff,tempo_diff,acousticness_diff,instrumentalness_diff,speechiness_diff,liveness_diff,predicted_play_count_log
3485,0.30601302,4.995928,0.14974917,0.30962697,0.11005195,112.076515,0.063377604,0.082847886,0.121458516,0.15331529,1.0416189188446925
5769,0.46812686,4.565951,0.22081909,0.14751314,0.2607687,112.50649,0.18324615,0.082758926,0.1254312,0.13532919,1.0775844482481605
4792,0.572673,5.0952215,0.16156156,0.042966973,0.05104227,111.97722,0.1611587,0.08284045,0.102397546,0.024154833,0.9394862927930898
4373,0.47312376,4.7559752,0.14235999,0.14251624,0.33193645,112.31647,0.09556115,0.08275376,0.114424035,0.010382618,0.9787137129308023
6155,0.66628975,5.1782436,0.30379686,0.050649725,0.2435448,111.894196,0.2991335,0.5372129,0.087611765,0.25757968,1.2224342143424676
6385,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.0922807496496145
5053,0.59222126,5.081199,0.21618484,0.023418738,0.18705297,111.99124,0.2975713,0.082337245,0.10562857,0.1918901,1.0837609322198167
6589,0.2585107,4.3704853,0.16218716,0.3571293,0.3309233,112.70196,0.28749493,0.024083955,0.12320068,0.14338292,0.7759815966205291
6127,0.51641,4.455939,0.20436592,0.09923,0.47378042,112.6165,0.0005579875,0.082844615,0.12368515,0.17505628,1.019018653348222
5345,0.6010319,5.0308104,0.16156156,0.014608108,0.10372718,112.041626,0.1611587,0.082843654,0.12601389,0.02889973,1.3817641319174538
4439,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.051727418641007
6424,0.2592826,4.6843143,0.28876975,0.3563574,0.524439,112.38812,0.3368676,0.08276055,0.117983274,0.14248486,1.030072150239166
2195,0.22394323,5.222348,0.32492697,0.39169678,0.024945572,111.85009,0.07994113,0.07705255,0.11682754,0.19368367,0.8640581496347505
1895,0.5777363,4.634991,0.11155114,0.03790367,0.1695833,112.43745,0.22751072,0.08284352,0.13205503,0.10547623,1.0198443882211414
6579,0.50500876,5.1314535,0.2429602,0.110631265,0.06826618,111.94099,0.13536191,0.08247402,0.1857588,0.13088277,1.0447006847829348
4228,0.5086232,4.9596996,0.02498603,0.1070168,0.26887408,112.11274,0.05780368,0.06663714,0.09860966,0.21826527,0.8714994634290835
4148,0.4259211,4.3813515,0.13016471,0.18971889,0.10802561,112.691086,0.077199526,0.082847886,0.11923683,0.02809877,1.0880247991586465
4533,0.66062397,5.009488,0.31030682,0.04498399,0.21542177,112.06295,0.29162857,0.06076075,0.095118605,0.13265896,1.1805174543383454
3029,0.26236427,4.939454,0.24703906,0.35327575,0.411977,112.13299,0.23027109,0.049311917,0.1354383,0.16298072,1.0960006724351474
4215,0.35206434,4.8180857,0.2923272,0.26357567,0.21846128,112.25436,0.17342879,0.08282711,0.11836882,0.1678487,0.9963585415201225
3116,0.6830968,5.2907085,0.40460154,0.06745684,0.193132,111.78173,0.2987151,0.008582435,0.0039871265,0.13265896,1.017247039356486
2671,0.60376936,4.6904206,0.18625417,0.011870631,0.1546315,112.38202,0.2900716,0.082847886,0.114136,0.18652867,0.9559826952273649
4324,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.083785804010046
5796,0.6318036,4.727361,0.021385185,0.01616355,0.37221754,112.34508,0.28055453,0.082847886,0.116538815,0.20872441,1.1548038546221264
4752,0.6189623,4.753297,0.057139575,0.0033222823,0.32561168,112.319145,0.29258183,0.37105283,0.112313725,0.15331529,0.9649747652328199
257,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.2494978242534347
4910,0.3653373,4.7550373,0.18433295,0.25030267,0.12727587,112.317406,0.27349302,0.082847886,0.11221791,0.05040306,1.170726227591808
3552,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1218705857652662
4068,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.0496972052495734
3713,0.5533102,4.9416423,0.18433295,0.062329765,0.1837677,112.1308,0.29845026,0.08283319,0.11423201,0.171446,0.953365930896888
1507,0.3328944,4.854808,0.40221208,0.28274557,0.5250469,112.217636,0.098691136,0.34167087,0.12397595,0.1320956,0.7994534794966887
3791,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1164775278037564
3280,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1218705857652662
3948,0.35136086,4.4905,0.3716574,0.26427916,0.38766086,112.58194,0.2985222,0.8614277,0.12416986,0.00031671836,1.1958832606431897
5098,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.108569870182847
5636,0.51282364,4.907679,0.18433295,0.10281637,0.23061933,112.164764,0.24488123,0.082847886,0.12669413,0.15704274,2.040001235607876
6712,0.23348984,4.910248,0.2760667,0.38215014,0.34814718,112.16219,0.001665059,0.07989956,0.106866725,0.074535854,1.005755492061463
5360,0.5567545,4.4213676,0.2669916,0.058885444,0.19389941,112.65107,0.2819177,0.082438566,0.114136,0.13890062,1.044901112115745
6102,0.60157996,4.94876,0.22814512,0.014060013,0.411977,112.12368,0.31329927,0.9070204,0.11480821,0.26537117,1.056624395198678
799,0.5561813,4.7786613,0.10621147,0.059458673,0.29319018,112.29378,0.2984003,0.041772176,0.1254312,0.058170114,1.025625377290082
6484,0.6135627,4.9052896,0.123520166,0.0020772987,0.07256462,112.16715,0.0507724,0.08275852,0.11538474,0.14878835,1.099950236183623
6046,0.57210886,4.847269,0.34275806,0.04353115,0.06648559,112.225174,0.2990984,0.082746565,0.07000568,0.07732938,1.2081363780150711
3926,0.45742485,4.7105837,0.18050152,0.15821515,0.29343596,112.361855,0.2707869,0.08171313,0.1262082,0.13265896,0.8887278418157566
5121,0.64553136,4.9175987,0.16594891,0.029891327,0.32966435,112.15484,0.2987521,0.08282671,0.10230268,0.18456063,0.8621001640495102
896,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1291410067677308
5422,0.5533102,4.787542,0.19462243,0.062329765,0.45655653,112.2849,0.25506744,0.082611814,0.080160856,0.10807476,1.1328566930558543
3244,0.44468582,4.8283057,0.19785972,0.17095418,0.36435792,112.24413,0.041568793,0.082847886,0.12679134,0.04505517,0.9007681451933354
5133,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.108569870182847
4267,0.65440637,5.2952075,0.43537322,0.03876635,0.017853374,111.77723,0.29917556,0.08200797,0.07350218,0.13354824,1.4408360309222827
312,0.42264992,4.4876695,0.15594883,0.19299006,0.22454031,112.58477,0.011747959,0.06785295,0.11923683,0.05483438,1.2278894420195805
2164,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1199369980965936
1650,0.5510074,4.8163867,0.3724293,0.06463259,0.2559486,112.25605,0.115193166,0.6962808,0.11682754,0.4366871,1.286634378715456
5518,0.3133498,4.542475,0.23619886,0.30229017,0.4575697,112.52997,0.2547051,0.08280918,0.121458516,0.13890062,0.9057111787290214
5011,0.42461392,4.599192,0.19591609,0.19102608,0.26810667,112.47325,0.12522669,0.08279378,0.12883504,0.018821487,0.8899037072437338
6403,0.54522705,4.8834987,0.19397622,0.07041295,0.23467201,112.18894,0.25899822,0.08229672,0.10858363,0.03050358,1.1713233123275915
3577,0.6668032,4.6003685,0.30740827,0.051163204,0.053314365,112.47207,0.29419246,0.082847886,0.11250539,0.038489293,1.041828801516109
1336,0.567584,4.6375213,0.14789675,0.048056044,0.15337256,112.43492,0.16290238,0.08279753,0.09879872,0.101160295,0.9960329562781117
4231,0.54869926,4.4064755,0.050401762,0.066940725,0.0837095,112.66596,0.28251955,0.08275974,0.01002423,0.16987635,0.9908877314557013
6962,0.47000363,4.683214,0.097374886,0.14563636,0.27697945,112.38923,0.09542316,0.87662524,0.12601389,0.17607692,1.1587268210337756
4529,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1079658816152824
4772,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.0242164026513192
458,0.39541477,4.57151,0.18369336,0.22022523,0.27519888,112.50093,0.030123748,0.082847886,0.12932226,0.16821706,1.449012014327651
1700,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1509508298764493
682,0.40945712,4.5644107,0.15968715,0.20618287,0.06344608,112.508026,0.054991815,0.082847886,0.13127348,0.13265896,1.084351035068149
2205,0.06625579,4.6163573,0.10917444,0.5493842,0.3096467,112.456085,0.3879491,0.08278071,0.11116452,0.13711332,1.2666470303603623
862,0.31408054,4.5041113,0.1824154,0.30155945,0.14956564,112.56833,0.20341182,0.3477499,0.13078532,0.15059666,1.1215888757088344
5687,0.60867804,4.970091,0.057703115,0.006961976,0.3347302,112.10235,0.27458495,0.057518605,0.04703286,0.033719018,0.8360518864304437
6627,0.4605844,4.7828226,0.062789306,0.1550556,0.1908599,112.28962,0.2921448,0.08284601,0.05967982,0.20136616,0.8193697739173601
5012,0.5276827,4.574608,0.05488859,0.087957256,0.32585743,112.49783,0.21346113,0.082847886,0.08957686,0.024154833,1.0693587003188478
2250,0.4440446,4.6742296,0.11572403,0.17159541,0.16046476,112.39821,0.28075087,0.082511514,0.13137114,0.13443832,0.8794785608244656
2170,0.5411608,5.181165,0.11632158,0.07447918,0.327638,111.89127,0.17643286,0.08277818,0.11779056,0.024154833,1.0705747674197725
5936,0.5944312,5.050292,0.009288821,0.021208793,0.3772834,112.02215,0.28232288,0.082844555,0.07654858,0.2027,1.1629723839395005
4784,0.39810476,5.313895,0.051521584,0.21753524,0.37829658,111.758545,0.0860824,0.082847886,0.047930926,0.17840044,0.928352456469898
2781,0.67447394,5.0038924,0.23015249,0.058833916,0.29242277,112.06855,0.2991575,0.59293735,0.0931426,0.01576104,1.3205074165304596
3221,0.51700646,4.8511157,0.27186793,0.09863352,0.06952511,112.22132,0.14678705,0.082784764,0.124072894,0.14878835,1.0453503328262634
6417,0.35627487,4.871741,0.25045088,0.25936514,0.10397293,112.2007,0.17581117,0.082847886,0.11394403,0.4270838,1.4616490360059702
1604,0.47609133,4.7336817,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062,1.1075582810162967
736,0.4780958,4.55354,0.04872438,0.1375442,0.1553989,112.5189,0.06489871,0.08260168,0.012217919,0.1469833,1.6319657882876264
6024,0.4478858,4.9756227,0.33380276,0.16775417,0.1718554,112.09682,0.25267816,0.06846085,0.1269858,0.160053,0.9990855110249448
3573,0.11243543,5.1976347,0.27887568,0.5032046,0.19110565,111.8748,0.14229554,0.082847886,0.120202176,0.15886606,0.9314487139613897
