id,name,artist
5ub9ngy3atXzJ3VmJ0MDqJ,Good Friend,Mary MacGregor
4qsESiC3wgGj1kXJTdICF2,光陰的故事,羅大佑
7N2qyJrAp16ghZFBloT8Ye,El Matador,Los Fabulosos Cadillacs
23IWhAK0cYRwnBT5EE8i3u,Don't give up on us,David Soul
4mAjRT7IjwhZATGgeYCSAK,特別的愛給特別的你,SKY WU
5EIfRhrHwSCa4rhA4jXyES,夢一場,那英
2OgVsp77En2nju8pnCieVU,Waiting for a Girl like You,Foreigner
42O94rF8TR5FXKX8Ymqz1j,Le Rendez Vous,Manu Chao
12q3V8ShACq2PSWINMc2rC,It's Too Late,Carole King
5T5Lhlqo4cV0plVA8pB1Gu,Wonderland 夕闇 City,二名敦子
4PLVAN7d2k4brMHmFTjKRa,雨蝶,E-Jun Lee
4xZIMRwaaBx7CZMmM6KLuh,沒那麽簡單,黃小琥
0rVJ6v23RQozOIvr1YotJP,Hell N Back,Bakar
5Hc7O2dX51NI4YcHPuoOpw,Desaparecido,Manu Chao
